"1";27296;
"2";26478;
"3";27287;
"4";25938;
"5";26719;
"6";25840;
"7";27793;
"8";24565;
"9";25721;
"0";24189;
"~";29837;
"`";31619;
"!";29460;
"@";21119;
"#";24385;
"$";24116;
"%";24393;
"^";29926;
"&";23602;
"*";28889;
"(";27884;
")";28053;
"-";31534;
"=";29398;
"_";30625;
"+";28840;
"{";27457;
"}";27461;
"[";27280;
"]";26688;
":";30768;
'"';30345;
";";29241;
"'";31452;
"<";29240;
">";29158;
"?";28519;
",";30219;
".";31536;
"/";28900;
"\";28945;
"|";28185;
"q";25794;
"w";26584;
"e";26849;
"r";28770;
"t";27541;
"y";27033;
"u";27673;
"i";27592;
"o";27160;
"p";26014;
"a";26776;
"s";28136;
"d";25799;
"f";27666;
"g";23758;
"h";26784;
"j";26829;
"k";26150;
"l";27507;
"z";28305;
"x";27456;
"c";28689;
"v";28348;
"b";26057;
"n";27675;
"m";25002;
"Q";23108;
"W";23693;
"E";26516;
"R";24832;
"T";27790;
"Y";27220;
"U";25782;
"I";27032;
"O";25333;
"P";26272;
"A";25489;
"S";26454;
"D";24909;
"F";27578;
"G";25583;
"H";25670;
"J";27796;
"K";25451;
"L";28565;
"Z";26987;
"X";24950;
"C";27406;
"V";25792;
"B";24507;
"N";23845;
"M";23871;
" ";32614;
